stadium_lookup_name,city_name
AT&T Stadium,Arlington
Ahmad bin Ali Stadium,Al Rayyan
Ak Bars Arena,Kazan
Al Bayt Stadium,Al Khor
Al Janoub Stadium,Al Wakrah
Al Thumama Stadium,Doha
Allegiant Stadium,Las Vegas
Allianz Arena,Munich
Arena Nationala,Bucharest
Arrowhead Stadium,Kansas City
Baki Olimpiya Stadionu,Baku
Bank of America Stadium,Charlotte
Children's Mercy Park,Kansas City
Deutsche Bank Park,Frankfurt
Education City Stadium,Al Rayyan
Ekaterinburg Arena,Ekaterinburg
Estadio Olimpico,Rome
Estadio de La Cartuja,Seville
Hampden Park,Glasgow
Hard Rock Stadium,Miami Gardens
Inter&Co Stadium,Orlando
Johan Cruijff Arena (Amsterdam),Amsterdam
Levi's Stadium,Santa Clara
Lusail Stadium,Lusail
Mercedes-Benz Stadium,Atlanta
Merkur Spiel-Arena,Dusseldorf
MetLife Stadium,East Rutherford
MHPArena,Stuttgart
Mordovia Arena,Saransk
NRG Stadium,Houston
Olimpiyskiy Stadion Fisht,Sochi
Olympiastadion Berlin,Berlin
Otkritie Bank Arena,Moscow
Parken,Copenhagen
Puskas Arena,Budapest
Q2 Stadium,Austin
Red Bull Arena,Leipzig
RheinEnergieStadion,Cologne
Rostec Arena,Kaliningrad
Rostov Arena,Rostov-on-Don
Saint-Petersburg Stadium ( Gazprom Arena ),Saint Petersburg
Sheikh Khalifa International Stadium,Al Rayyan
Signal-Iduna-Park,Dortmund
SoFi Stadium,Inglewood
Solidarnost Arena,Samara
Stade Amadou Gon Coulibaly,Korhogo
Stade Charles Konan Banny de Yamoussoukro,Yamoussoukro
Stade Felix Houphouet-Boigny,Abidjan
Stade Laurent Pokou,San Pedro
Stade Olympique Alassane Ouattara,Abidjan
Stade de Bouake,Bouake
Stadium 974,Doha
Stadion Luzhniki,Moscow
Stadion Nizhny Novgorod (Nizhniy Novgorod),Nizhny Novgorod
State Farm Stadium,Glendale
Trainingszentrum RB Leipzig Platz 1,Leipzig
VELTINS-Arena,Gelsenkirchen
Volksparkstadion,Hamburg
Volgograd Arena,Volgograd
Wembley Stadium,London
